"Postcode","OA_Code","Total","Percentage"
"S18 7TB","E00100039",8,29
"S18 7TH","E00100034",4,40
"S18 7TH","E00100040",4,40
"S18 7TH","E00100042",2,20
"S18 7TL","E00100032",4,25
"S18 7TL","E00100034",12,75
"S18 7UR","E00100034",1,25
"S18 7UR","E00100177",3,75
"S18 7WF","E00100034",2,8
"S18 7WF","E00100036",24,92
"S18 7XA","E00100035",2,22
"S18 7XA","E00100038",7,78
"S18 8PY","E00100167",83,98
"S18 8PY","E00100176",2,2
"S18 8WG","E00100130",1,11
"S18 8WG","E00100131",8,89
"S18 8WS","E00100137",52,55
"S18 8WS","E00100169",43,45
"S18 8XF","E00100130",45,78
"S18 8XF","E00100169",13,22
"S18 8XL","E00100133",6,67
"S18 8XL","E00100137",3,33
"S18 8YS","E00100131",32,74
"S18 8YS","E00100169",11,26
"S18 8ZN","E00100170",40,93
"S18 8ZN","E00100179",3,7
"S18 8ZQ","E00100128",55,53
"S18 8ZQ","E00100170",49,47
"S20 1AA","E00040699",62,97
"S20 1AA","E00040700",2,3
"S20 1AL","E00040699",2,3
"S20 1AL","E00040700",57,97
"S20 1AX","E00040702",145,99
"S20 1AX","E00040708",1,1
"S20 1BB","E00040697",46,88
"S20 1BB","E00040710",6,12
"S20 1EG","E00040698",3,2
"S20 1EG","E00040716",122,92
"S20 1EG","E00040720",6,5
"S20 1EG","E00040738",1,1
"S20 1ES","E00040652",53,93
"S20 1ES","E00040654",4,7
"S20 1FU","E00040649",5,11
"S20 1FU","E00040724",39,89
"S20 1HB","E00040652",3,16
"S20 1HB","E00040715",16,84
"S20 1NY","E00040648",148,99
"S20 1NY","E00040703",2,1
"S20 1XE","E00040648",51,26
"S20 1XE","E00040703",148,74
"S20 1XJ","E00040648",11,73
"S20 1XJ","E00040703",4,27
"S20 2PQ","E00040716",21,18
"S20 2PQ","E00040720",95,82
"S20 2QR","E00040660",207,99
"S20 2QR","E00040671",3,1
"S20 2QT","E00040659",11,12
"S20 2QT","E00040660",82,88
"S20 3GS","E00172435",28,42
"S20 3GS","E00172436",39,58
"S20 4GB","E00040681",55,93
"S20 4GB","E00172435",4,7
"S20 4RY","E00040686",54,87
"S20 4RY","E00040689",8,13
"S20 4SN","E00040694",66,87
"S20 4SN","E00172437",10,13
"S20 4SS","E00040641",73,61
"S20 4SS","E00040694",12,10
"S20 4SS","E00040695",34,29
"S20 4SY","E00040641",5,3
"S20 4SY","E00040695",161,97
"S20 4SZ","E00040641",9,24
"S20 4SZ","E00040695",29,76
"S20 4TA","E00040639",36,95
"S20 4TA","E00040684",2,5
"S20 4TP","E00040640",6,11
"S20 4TP","E00165810",47,89
"S20 4UA","E00040640",3,5
"S20 4UA","E00040691",58,95
"S20 4XE","E00040695",80,96
"S20 4XE","E00172437",3,4
"S20 5AB","E00040638",4,18
"S20 5AB","E00040686",18,82
"S20 5AD","E00040635",6,10
