"Postcode","OA_Code","Total","Percentage"
"M15 5XE","E00175920",33,59
"M15 5YW","E00175908",51,74
"M15 5YW","E00176064",18,26
"M15 6BP","E00175820",32,86
"M15 6BP","E00176027",5,14
"M15 6FD","E00026384",50,56
"M15 6FD","E00026392",39,44
"M15 6GH","E00026386",12,20
"M15 6GH","E00176027",10,17
"M15 6GH","E00176028",33,55
"M15 6GH","E00176081",5,8
"M15 6GP","E00026386",48,94
"M15 6GP","E00176081",3,6
"M15 6QL","E00026397",1,2
"M15 6QL","E00026401",51,98
"M15 6RS","E00026384",30,81
"M15 6RS","E00026392",7,19
"M1  5DB","E00175962",2,3
"M1  5DB","E00176000",78,98
"M1  5DD","E00175962",24,12
"M1  5DD","E00176000",172,88
"M1  5JW","E00175962",59,97
"M1  5JW","E00175991",2,3
"M1  5NP","E00175843",30,43
"M1  5NP","E00176062",39,57
"M16 0AA","E00026838",2,2
"M16 0AA","E00026843",90,98
"M16 0AY","E00026848",34,89
"M16 0AY","E00026851",4,11
"M16 0DE","E00026844",9,17
"M16 0DE","E00026845",44,83
"M16 0ED","E00026845",64,71
"M16 0ED","E00026847",26,29
"M16 0LG","E00030974",14,61
"M16 0LG","E00031137",9,39
"M16 0QT","E00031368",76,76
"M16 0QT","E00031374",24,24
"M16 7AB","E00026539",65,92
"M16 7AB","E00026558",6,8
"M16 7AH","E00026539",3,6
"M16 7AH","E00026558",44,94
"M16 7DA","E00175967",27,82
"M16 7DA","E00175968",6,18
"M16 7DE","E00026559",21,49
"M16 7DE","E00026563",22,51
"M16 7DF","E00026559",55,69
"M16 7DF","E00026563",25,31
"M16 7DL","E00175967",15,33
"M16 7DL","E00175968",31,67
"M16 7DN","E00175967",11,39
"M16 7DN","E00175968",17,61
"M16 7EH","E00026547",25,36
"M16 7EH","E00026833",44,64
"M16 7ET","E00026571",4,8
"M16 7ET","E00026573",46,92
"M16 7EY","E00026558",52,90
"M16 7EY","E00026571",6,10
"M16 7HA","E00026558",38,69
"M16 7HA","E00175967",17,31
"M16 7HB","E00026558",28,48
"M16 7HB","E00175967",30,52
"M16 7HE","E00026559",14,27
"M16 7HE","E00026563",37,73
"M16 7HG","E00026563",21,55
"M16 7HG","E00175968",17,45
"M16 7JA","E00026535",11,65
"M16 7JA","E00026563",6,35
"M16 7JB","E00026535",4,7
"M16 7JB","E00026563",42,71
"M16 7JB","E00175968",13,22
"M16 7JE","E00026535",5,9
"M16 7JE","E00026563",53,91
"M16 7JQ","E00026559",1,2
"M16 7JQ","E00026563",22,50
"M16 7JQ","E00175968",21,48
"M16 7LE","E00026535",17,37
"M16 7LE","E00026574",29,63
"M16 7LL","E00026535",3,27
