"Postcode","OA_Code","Total","Percentage"
"GL168HJ","E00113068",11,52
"GL168HJ","E00113075",8,38
"GL168HJ","E00113076",2,10
"GL168HN","E00113075",5,4
"GL168HN","E00113077",117,96
"GL168HW","E00113070",1,33
"GL168HW","E00113076",2,67
"GL168JA","E00113177",4,57
"GL168JA","E00113183",3,43
"GL168JE","E00113177",8,35
"GL168JE","E00113183",15,65
"GL168JG","E00113182",1,1
"GL168JG","E00113183",89,99
"GL168JH","E00113182",7,28
"GL168JH","E00113183",18,72
"GL168JJ","E00113182",64,91
"GL168JJ","E00113183",6,9
"GL168JP","E00113183",21,91
"GL168JP","E00113184",2,9
"GL168LH","E00113177",7,58
"GL168LH","E00113184",5,42
"GL168LL","E00113005",18,47
"GL168LL","E00113182",20,53
"GL168LU","E00113182",3,5
"GL168LU","E00113183",53,95
"GL168LW","E00113005",17,94
"GL168LW","E00113182",1,6
"GL168NB","E00113060",39,89
"GL168NB","E00113176",5,11
"GL168NE","E00113060",5,56
"GL168NE","E00113176",4,44
"GL168NF","E00113060",3,20
"GL168NF","E00113176",12,80
"GL168NP","E00113020",11,13
"GL168NP","E00113176",71,87
"GL168NR","E00113020",12,80
"GL168NR","E00113060",3,20
"GL168NZ","E00113020",9,82
"GL168NZ","W00008325",2,18
