"Postcode","OA_Code","Total","Percentage"
"AL6 9UF","E00120007",3,13
"AL7 1GY","E00121636",41,65
"AL7 1GY","E00121638",22,35
"AL7 2LB","E00121621",66,92
"AL7 2LB","E00121628",6,8
"AL7 3DJ","E00121583",1,4
"AL7 3DJ","E00121585",25,96
"AL7 3ER","E00121580",7,58
"AL7 3ER","E00121634",5,42
"AL7 3ES","E00121580",24,86
"AL7 3ES","E00121634",4,14
"AL7 3JN","E00121581",13,46
"AL7 3JN","E00121584",15,54
"AL7 3JP","E00121580",11,73
"AL7 3JP","E00121651",4,27
"AL7 3JS","E00121582",37,88
"AL7 3JS","E00121653",5,12
"AL7 3NE","E00121636",44,86
"AL7 3NE","E00121640",7,14
"AL7 3NW","E00121634",9,11
"AL7 3NW","E00173228",74,89
"AL7 3NX","E00121634",56,97
"AL7 3NX","E00121635",2,3
"AL7 3QE","E00121640",48,94
"AL7 3QE","E00121645",3,6
"AL7 3TB","E00121559",16,29
"AL7 3TB","E00121646",39,71
"AL7 4BA","E00121558",22,92
"AL7 4BA","E00121575",2,8
"AL7 4FD","E00121566",29,94
"AL7 4FD","E00173270",2,6
"AL7 4FG","E00121566",89,54
"AL7 4FG","E00173270",75,46
"AL7 4FH","E00121566",23,19
"AL7 4FH","E00173270",98,81
"AL7 4FL","E00121566",31,53
"AL7 4FL","E00173270",28,47
"AL7 4FQ","E00121569",34,28
"AL7 4FQ","E00173221",40,33
"AL7 4FQ","E00173270",47,39
"AL7 4HZ","E00121571",106,90
"AL7 4HZ","E00173212",12,10
"AL7 4LQ","E00121556",15,88
"AL7 4LQ","E00121567",2,12
"AL7 4RN","E00121576",6,35
"AL7 4RN","E00121590",11,65
"AL7 4SG","E00173217",46,58
"AL7 4SG","E00173218",34,43
"AL7 4SH","E00173217",57,52
"AL7 4SH","E00173218",52,48
"AL7 4SQ","E00173217",28,15
"AL7 4SQ","E00173223",15,8
"AL7 4SQ","E00173225",140,77
"AL7 4SY","E00173217",3,2
"AL7 4SY","E00173223",128,98
"AL8 6UX","E00121452",32,63
"AL8 6UX","E00121454",19,37
"AL8 6YN","E00121448",66,88
"AL8 6YN","E00121454",9,12
"AL8 7HP","E00121666",7,13
"AL8 7HP","E00121672",49,88
"AL8 7RH","E00121662",2,20
"AL8 7RH","E00121666",8,80
"AL9 5EF","E00121496",2,17
"AL9 5EF","E00121500",10,83
"AL9 6AJ","E00121480",11,85
"AL9 6AJ","E00173212",2,15
"AL9 6DA","E00121401",3,10
"AL9 6DA","E00121678",27,90
"AL9 6JE","E00121397",2,50
"AL9 6JE","E00121480",2,50
"AL9 6JJ","E00121397",11,79
"AL9 6JJ","E00121480",3,21
"AL9 7SA","E00121408",5,10
"AL9 7SA","E00121410",44,90
"AL9 7TF","E00121411",2,6
"AL9 7TF","E00121677",31,94
"B10 0AX","E00047447",3,33
"B10 0AX","E00047449",6,67
"B10 0BN","E00047449",11,7
"B10 0BN","E00047520",145,93
"B10 0EB","E00047446",70,97
"B10 0EB","E00047460",2,3
"B10 0EP","E00047316",58,91
"B10 0EP","E00047321",6,9
"B10 0HU","E00047317",97,99
"B10 0HU","E00047324",1,1
"B10 0JL","E00047312",17,20
"B10 0JL","E00047317",68,80
"B10 0JS","E00047355",6,32
"B10 0JS","E00047464",5,26
